,AAPL
totalDebt,96798998528
quickRatio,0.783
currentRatio,0.923
totalRevenue,395760009216
debtToEquity,145.0
revenuePerShare,25.974
returnOnAssets,0.22518998
returnOnEquity,1.3652
grossProfits,184102993920
freeCashflow,93833871360
operatingCashflow,108293996544
earningsGrowth,0.101
revenueGrowth,0.04
grossMargins,0.46519002
ebitdaMargins,0.34706002
operatingMargins,0.34459
financialCurrency,USD
symbol,AAPL
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
longName,Apple Inc.
corporateActions,[]
postMarketTime,1742255995
regularMarketTime,1742241601
exchange,NMS
messageBoardId,finmb_24937
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
hasPrePostMarketData,True
firstTradeDateMilliseconds,345479400000
postMarketChangePercent,-0.0327137
postMarketPrice,213.93
postMarketChange,-0.0700073
regularMarketChange,0.5099945
regularMarketDayRange,209.98 - 215.22
fullExchangeName,NasdaqGS
averageDailyVolume3Month,53441279
fiftyTwoWeekLowChange,49.92
fiftyTwoWeekLowChangePercent,0.3042418
fiftyTwoWeekRange,164.08 - 260.1
fiftyTwoWeekHighChange,-46.100006
fiftyTwoWeekHighChangePercent,-0.17723954
fiftyTwoWeekChangePercent,21.535671
dividendDate,1739404800
earningsTimestamp,1738272600
earningsTimestampStart,1746010740
earningsTimestampEnd,1746446400
earningsCallTimestampStart,1738274400
earningsCallTimestampEnd,1738274400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,6.29
epsForward,8.31
epsCurrentYear,7.3275
priceEpsCurrentYear,29.20505
fiftyDayAverageChange,-20.2014
fiftyDayAverageChangePercent,-0.086256534
twoHundredDayAverageChange,-13.892746
twoHundredDayAverageChangePercent,-0.06096177
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,2.0 - Buy
cryptoTradeable,False
regularMarketChangePercent,0.2388845
regularMarketPrice,214.0
shortName,Apple Inc.
marketState,PREPRE
displayName,Apple
trailingPegRatio,1.9861
